fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/907/907_2.png,907,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/907/907_29.png,907
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/974/974_11.png,974,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/974/974_3.png,974
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/801/801_36.png,801,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/801/801_37.png,801
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/919/919_1.png,919,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/919/919_37.png,919
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/814/814_16.png,814,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/814/814_44.png,814
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/907/907_23.png,907,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/907/907_8.png,907
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/902/902_27.png,902,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/902/902_47.png,902
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/890/890_13.png,890,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/890/890_44.png,890
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/819/819_1.png,819,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/819/819_40.png,819
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/905/905_13.png,905,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/905/905_25.png,905
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/962/962_46.png,962,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/962/962_47.png,962
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/835/835_3.png,835,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/835/835_32.png,835
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/847/847_31.png,847,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/847/847_39.png,847
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/899/899_19.png,899,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/899/899_30.png,899
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/818/818_15.png,818,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/818/818_19.png,818
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/952/952_4.png,952,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/952/952_8.png,952
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/931/931_11.png,931,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/931/931_32.png,931
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/983/983_0.png,983,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/983/983_18.png,983
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/827/827_20.png,827,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/827/827_42.png,827
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/933/933_43.png,933,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/933/933_45.png,933
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/983/983_18.png,983,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/983/983_34.png,983
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/936/936_12.png,936,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/936/936_48.png,936
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/813/813_10.png,813,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/813/813_22.png,813
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/847/847_18.png,847,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/847/847_47.png,847
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/990/990_28.png,990,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/990/990_4.png,990
