fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/921/921_19.png,921,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/921/921_9.png,921
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/892/892_3.png,892,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/892/892_31.png,892
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/834/834_33.png,834,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/834/834_36.png,834
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/955/955_26.png,955,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/955/955_6.png,955
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/896/896_22.png,896,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/896/896_8.png,896
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/968/968_11.png,968,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/968/968_47.png,968
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/860/860_11.png,860,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/860/860_34.png,860
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/861/861_28.png,861,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/861/861_38.png,861
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/949/949_10.png,949,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/949/949_17.png,949
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/955/955_4.png,955,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/955/955_5.png,955
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/847/847_46.png,847,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/847/847_5.png,847
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/841/841_31.png,841,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/841/841_33.png,841
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/931/931_14.png,931,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/931/931_6.png,931
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/951/951_20.png,951,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/951/951_36.png,951
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/906/906_15.png,906,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/906/906_7.png,906
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/887/887_28.png,887,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/887/887_49.png,887
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/907/907_34.png,907,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/907/907_35.png,907
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/891/891_13.png,891,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/891/891_28.png,891
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/869/869_36.png,869,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/869/869_43.png,869
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/878/878_30.png,878,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/878/878_49.png,878
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/927/927_32.png,927,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/927/927_43.png,927
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/980/980_34.png,980,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/980/980_47.png,980
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/911/911_31.png,911,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/911/911_44.png,911
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/871/871_0.png,871,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/923/923_0.png,923
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/933/933_2.png,933,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/986/986_19.png,986
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/811/811_0.png,811,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/906/906_36.png,906
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/902/902_28.png,902,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/923/923_42.png,923
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/891/891_2.png,891,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/900/900_29.png,900
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/873/873_15.png,873,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/990/990_2.png,990
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/809/809_10.png,809,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/876/876_21.png,876
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/824/824_8.png,824,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/955/955_43.png,955
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/888/888_14.png,888,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/922/922_36.png,922
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/871/871_34.png,871,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/936/936_33.png,936
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/944/944_25.png,944,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/947/947_16.png,947
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/941/941_22.png,941,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/972/972_26.png,972
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/920/920_11.png,920,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/979/979_34.png,979
