fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/935/935_29.png,935,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/935/935_39.png,935
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/917/917_22.png,917,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/917/917_28.png,917
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/809/809_3.png,809,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/809/809_37.png,809
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/888/888_23.png,888,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/888/888_27.png,888
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/840/840_22.png,840,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/840/840_5.png,840
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/857/857_19.png,857,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/857/857_41.png,857
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/895/895_47.png,895,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/895/895_7.png,895
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/860/860_17.png,860,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/860/860_8.png,860
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/822/822_48.png,822,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/822/822_49.png,822
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/905/905_3.png,905,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/905/905_49.png,905
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/960/960_40.png,960,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/960/960_49.png,960
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/992/992_26.png,992,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/992/992_34.png,992
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/903/903_30.png,903,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/903/903_35.png,903
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/979/979_32.png,979,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/979/979_8.png,979
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/849/849_17.png,849,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/849/849_29.png,849
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/991/991_28.png,991,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/991/991_40.png,991
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/937/937_27.png,937,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/937/937_32.png,937
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/814/814_1.png,814,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/814/814_49.png,814
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/956/956_37.png,956,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/956/956_45.png,956
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/990/990_31.png,990,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/990/990_42.png,990
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/855/855_1.png,855,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/855/855_2.png,855
