fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/856/856_12.png,856,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/856/856_47.png,856
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/893/893_35.png,893,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/893/893_40.png,893
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/872/872_17.png,872,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/872/872_27.png,872
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/900/900_1.png,900,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/900/900_39.png,900
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/854/854_13.png,854,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/854/854_45.png,854
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/924/924_25.png,924,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/924/924_30.png,924
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/822/822_21.png,822,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/822/822_39.png,822
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/956/956_19.png,956,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/956/956_6.png,956
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/859/859_46.png,859,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/859/859_9.png,859
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/934/934_25.png,934,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/934/934_27.png,934
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/894/894_49.png,894,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/894/894_9.png,894
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/980/980_23.png,980,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/980/980_39.png,980
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/926/926_15.png,926,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/926/926_5.png,926
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/887/887_11.png,887,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/887/887_36.png,887
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/959/959_42.png,959,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/959/959_49.png,959
