fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/954/954_18.png,954,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/954/954_5.png,954
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/815/815_43.png,815,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/815/815_8.png,815
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/904/904_15.png,904,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/904/904_25.png,904
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/900/900_34.png,900,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/900/900_41.png,900
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/866/866_13.png,866,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/866/866_26.png,866
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/902/902_14.png,902,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/902/902_32.png,902
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/846/846_14.png,846,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/846/846_47.png,846
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/952/952_34.png,952,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/952/952_47.png,952
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/881/881_17.png,881,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/881/881_34.png,881
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/908/908_17.png,908,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/908/908_21.png,908
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/973/973_38.png,973,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/973/973_47.png,973
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/940/940_48.png,940,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/940/940_9.png,940
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/823/823_28.png,823,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/823/823_3.png,823
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/874/874_15.png,874,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/874/874_9.png,874
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/842/842_25.png,842,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/842/842_9.png,842
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/960/960_25.png,960,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/960/960_39.png,960
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/994/994_49.png,994,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/994/994_7.png,994
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/889/889_21.png,889,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/889/889_28.png,889
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/970/970_10.png,970,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/970/970_44.png,970
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/951/951_33.png,951,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/951/951_45.png,951
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/882/882_24.png,882,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/882/882_6.png,882
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/942/942_15.png,942,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/942/942_32.png,942
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/898/898_1.png,898,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/898/898_2.png,898
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/955/955_17.png,955,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/955/955_5.png,955
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/877/877_11.png,877,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/877/877_46.png,877
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/922/922_17.png,922,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/922/922_37.png,922
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/825/825_2.png,825,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/825/825_7.png,825
