fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/950/950_27.png,950,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/950/950_45.png,950
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/890/890_18.png,890,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/890/890_47.png,890
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/984/984_38.png,984,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/984/984_39.png,984
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/956/956_29.png,956,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/956/956_41.png,956
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/942/942_17.png,942,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/942/942_29.png,942
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/808/808_0.png,808,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/808/808_6.png,808
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/817/817_18.png,817,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/817/817_4.png,817
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/857/857_11.png,857,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/857/857_32.png,857
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/915/915_10.png,915,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/915/915_40.png,915
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/836/836_31.png,836,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/836/836_48.png,836
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/801/801_46.png,801,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/954/954_29.png,954
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/856/856_9.png,856,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/866/866_6.png,866
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/835/835_42.png,835,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/878/878_23.png,878
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/893/893_23.png,893,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/904/904_0.png,904
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/900/900_0.png,900,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/982/982_1.png,982
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/866/866_13.png,866,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/977/977_47.png,977
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/877/877_6.png,877,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/956/956_37.png,956
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/848/848_16.png,848,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/915/915_49.png,915
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/869/869_48.png,869,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/920/920_44.png,920
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/850/850_19.png,850,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/988/988_47.png,988
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/899/899_33.png,899,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/916/916_26.png,916
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/848/848_27.png,848,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/935/935_4.png,935
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/874/874_41.png,874,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/989/989_19.png,989
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/830/830_14.png,830,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/953/953_15.png,953
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/828/828_41.png,828,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/933/933_18.png,933
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/888/888_48.png,888,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/986/986_17.png,986
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/911/911_27.png,911,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/949/949_6.png,949
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/867/867_16.png,867,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/966/966_19.png,966
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/823/823_23.png,823,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/963/963_7.png,963
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/841/841_6.png,841,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/914/914_19.png,914
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/916/916_1.png,916,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/994/994_30.png,994
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/846/846_28.png,846,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/878/878_19.png,878
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/887/887_31.png,887,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/931/931_3.png,931
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/827/827_26.png,827,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/930/930_33.png,930
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/907/907_3.png,907,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/982/982_35.png,982
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/954/954_48.png,954,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/992/992_5.png,992
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/838/838_12.png,838,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/994/994_36.png,994
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/815/815_46.png,815,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/839/839_32.png,839
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/861/861_22.png,861,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/888/888_4.png,888
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/918/918_24.png,918,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/987/987_27.png,987
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/807/807_13.png,807,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/892/892_11.png,892
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/862/862_29.png,862,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/871/871_40.png,871
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/803/803_23.png,803,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/885/885_20.png,885
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/808/808_4.png,808,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/898/898_2.png,898
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/803/803_4.png,803,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/957/957_21.png,957
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/964/964_16.png,964,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/977/977_8.png,977
