fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/857/857_25.png,857,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/857/857_5.png,857
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/919/919_16.png,919,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/919/919_35.png,919
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/917/917_15.png,917,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/917/917_8.png,917
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/853/853_20.png,853,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/853/853_36.png,853
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/879/879_16.png,879,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/879/879_43.png,879
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/920/920_10.png,920,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/920/920_7.png,920
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/833/833_33.png,833,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/833/833_40.png,833
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/909/909_42.png,909,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/909/909_8.png,909
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/987/987_29.png,987,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/987/987_46.png,987
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/899/899_34.png,899,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/899/899_44.png,899
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/996/996_48.png,996,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/996/996_8.png,996
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/973/973_2.png,973,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/973/973_3.png,973
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/964/964_18.png,964,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/964/964_45.png,964
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/951/951_28.png,951,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/951/951_43.png,951
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/867/867_23.png,867,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/867/867_5.png,867
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/934/934_10.png,934,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/934/934_2.png,934
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/869/869_0.png,869,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/869/869_30.png,869
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/861/861_19.png,861,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/861/861_27.png,861
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/839/839_30.png,839,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/839/839_34.png,839
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/864/864_27.png,864,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/864/864_46.png,864
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/936/936_37.png,936,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/936/936_38.png,936
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/942/942_10.png,942,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/942/942_18.png,942
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/924/924_22.png,924,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/924/924_47.png,924
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/914/914_21.png,914,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/914/914_43.png,914
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/989/989_14.png,989,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/989/989_30.png,989
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/914/914_36.png,914,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/914/914_48.png,914
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/804/804_35.png,804,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/804/804_41.png,804
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/870/870_20.png,870,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/870/870_41.png,870
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/882/882_15.png,882,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/882/882_47.png,882
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/846/846_24.png,846,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/846/846_26.png,846
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/936/936_16.png,936,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/936/936_37.png,936
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/853/853_42.png,853,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/853/853_5.png,853
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/837/837_26.png,837,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/837/837_49.png,837
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/806/806_21.png,806,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/806/806_33.png,806
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/877/877_20.png,877,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/877/877_47.png,877
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/960/960_34.png,960,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/960/960_43.png,960
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/993/993_14.png,993,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/993/993_29.png,993
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/950/950_10.png,950,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/950/950_44.png,950
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/822/822_33.png,822,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/822/822_35.png,822
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/962/962_19.png,962,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/962/962_36.png,962
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/915/915_46.png,915,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/928/928_44.png,928
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/824/824_28.png,824,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/947/947_22.png,947
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/853/853_28.png,853,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/944/944_19.png,944
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/892/892_36.png,892,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/973/973_24.png,973
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/804/804_38.png,804,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/977/977_38.png,977
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/844/844_29.png,844,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/846/846_45.png,846
