fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/940/940_12.png,940,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/940/940_49.png,940
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/899/899_31.png,899,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/899/899_33.png,899
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/830/830_18.png,830,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/830/830_39.png,830
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/829/829_30.png,829,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/829/829_8.png,829
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/877/877_43.png,877,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/877/877_9.png,877
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/812/812_12.png,812,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/812/812_8.png,812
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/903/903_40.png,903,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/903/903_6.png,903
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/808/808_3.png,808,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/808/808_7.png,808
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/930/930_11.png,930,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/930/930_26.png,930
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/801/801_13.png,801,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/801/801_26.png,801
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/857/857_15.png,857,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/857/857_17.png,857
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/937/937_18.png,937,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/937/937_29.png,937
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/893/893_21.png,893,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/893/893_44.png,893
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/926/926_16.png,926,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/926/926_47.png,926
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/874/874_10.png,874,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/874/874_16.png,874
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/820/820_10.png,820,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/820/820_48.png,820
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/868/868_18.png,868,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/974/974_8.png,974
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/881/881_35.png,881,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/936/936_21.png,936
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/899/899_11.png,899,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/964/964_20.png,964
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/911/911_19.png,911,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/963/963_25.png,963
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/821/821_48.png,821,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/840/840_48.png,840
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/882/882_45.png,882,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/974/974_28.png,974
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/910/910_43.png,910,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/944/944_12.png,944
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/880/880_33.png,880,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/974/974_19.png,974
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/845/845_38.png,845,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/960/960_14.png,960
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/805/805_45.png,805,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/892/892_38.png,892
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/866/866_23.png,866,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/945/945_43.png,945
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/816/816_28.png,816,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/944/944_15.png,944
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/955/955_27.png,955,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/979/979_48.png,979
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/874/874_1.png,874,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/935/935_25.png,935
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/838/838_23.png,838,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/885/885_23.png,885
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/841/841_25.png,841,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/993/993_12.png,993
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/801/801_14.png,801,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/851/851_37.png,851
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/904/904_32.png,904,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/940/940_2.png,940
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/827/827_5.png,827,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/918/918_1.png,918
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/863/863_16.png,863,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/865/865_46.png,865
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/879/879_9.png,879,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/892/892_7.png,892
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/930/930_49.png,930,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/956/956_14.png,956
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/848/848_0.png,848,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/999/999_47.png,999
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/887/887_10.png,887,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/944/944_48.png,944
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/818/818_44.png,818,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/853/853_5.png,853
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/846/846_47.png,846,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/998/998_32.png,998
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/820/820_9.png,820,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/837/837_3.png,837
