fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/990/990_13.png,990,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/990/990_30.png,990
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/937/937_7.png,937,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/937/937_8.png,937
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/833/833_17.png,833,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/833/833_30.png,833
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/861/861_4.png,861,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/861/861_9.png,861
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/951/951_27.png,951,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/951/951_7.png,951
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/914/914_13.png,914,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/914/914_27.png,914
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/845/845_27.png,845,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/845/845_28.png,845
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/943/943_30.png,943,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/943/943_38.png,943
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/837/837_1.png,837,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/837/837_3.png,837
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/927/927_24.png,927,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/927/927_46.png,927
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/848/848_0.png,848,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/848/848_11.png,848
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/850/850_2.png,850,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/850/850_22.png,850
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/955/955_35.png,955,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/955/955_8.png,955
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/921/921_1.png,921,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/921/921_30.png,921
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/904/904_12.png,904,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/904/904_25.png,904
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/847/847_19.png,847,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/847/847_4.png,847
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/933/933_25.png,933,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/933/933_36.png,933
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/918/918_23.png,918,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/918/918_30.png,918
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/810/810_23.png,810,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/810/810_39.png,810
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/842/842_13.png,842,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/842/842_23.png,842
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/864/864_1.png,864,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/864/864_49.png,864
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/906/906_43.png,906,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/906/906_44.png,906
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/872/872_35.png,872,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/872/872_49.png,872
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/994/994_30.png,994,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/994/994_39.png,994
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/891/891_30.png,891,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/891/891_8.png,891
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/898/898_0.png,898,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/898/898_12.png,898
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/971/971_31.png,971,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/971/971_35.png,971
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/875/875_10.png,875,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/875/875_23.png,875
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/909/909_26.png,909,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/909/909_49.png,909
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/994/994_1.png,994,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/994/994_45.png,994
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/858/858_22.png,858,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/858/858_8.png,858
