fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/837/837_32.png,837,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/837/837_47.png,837
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/942/942_46.png,942,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/942/942_7.png,942
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/832/832_21.png,832,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/832/832_45.png,832
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/958/958_11.png,958,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/958/958_44.png,958
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/834/834_33.png,834,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/909/909_28.png,909
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/859/859_11.png,859,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/987/987_28.png,987
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/941/941_8.png,941,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/981/981_20.png,981
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/884/884_7.png,884,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/887/887_25.png,887
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/912/912_30.png,912,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/989/989_38.png,989
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/970/970_10.png,970,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/984/984_7.png,984
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/802/802_43.png,802,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/824/824_4.png,824
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/854/854_12.png,854,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/883/883_4.png,883
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/842/842_11.png,842,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/929/929_12.png,929
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/883/883_31.png,883,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/903/903_13.png,903
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/889/889_3.png,889,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/925/925_49.png,925
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/806/806_26.png,806,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/917/917_32.png,917
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/902/902_37.png,902,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/961/961_29.png,961
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/930/930_13.png,930,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/960/960_26.png,960
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/874/874_29.png,874,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/985/985_30.png,985
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/809/809_2.png,809,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/958/958_11.png,958
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/816/816_10.png,816,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/869/869_31.png,869
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/812/812_1.png,812,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/832/832_40.png,832
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/810/810_34.png,810,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/912/912_7.png,912
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/852/852_40.png,852,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/922/922_33.png,922
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/960/960_7.png,960,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/985/985_8.png,985
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/827/827_10.png,827,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/832/832_1.png,832
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/813/813_11.png,813,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/820/820_28.png,820
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/913/913_16.png,913,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/991/991_48.png,991
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/808/808_13.png,808,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/891/891_42.png,891
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/828/828_27.png,828,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/842/842_21.png,842
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/882/882_49.png,882,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/942/942_31.png,942
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/808/808_18.png,808,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/964/964_44.png,964
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/800/800_28.png,800,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/921/921_13.png,921
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/822/822_0.png,822,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/916/916_46.png,916
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/841/841_13.png,841,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/900/900_19.png,900
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/867/867_13.png,867,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/914/914_41.png,914
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/862/862_26.png,862,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/898/898_37.png,898
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/837/837_24.png,837,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/903/903_24.png,903
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/935/935_31.png,935,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/937/937_15.png,937
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/917/917_33.png,917,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/934/934_44.png,934
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/902/902_3.png,902,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/997/997_15.png,997
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/867/867_49.png,867,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/921/921_23.png,921
