fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/981/981_25.png,981,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/981/981_41.png,981
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/933/933_22.png,933,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/933/933_5.png,933
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/843/843_28.png,843,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/843/843_31.png,843
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/964/964_1.png,964,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/964/964_42.png,964
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/937/937_25.png,937,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/937/937_38.png,937
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/812/812_37.png,812,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/812/812_43.png,812
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/932/932_26.png,932,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/932/932_34.png,932
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/874/874_4.png,874,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/874/874_45.png,874
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/937/937_37.png,937,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/937/937_41.png,937
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/874/874_35.png,874,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/874/874_39.png,874
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/893/893_44.png,893,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/893/893_45.png,893
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/846/846_37.png,846,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/846/846_42.png,846
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/853/853_11.png,853,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/853/853_25.png,853
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/896/896_34.png,896,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/896/896_35.png,896
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/959/959_23.png,959,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/959/959_45.png,959
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/975/975_20.png,975,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/975/975_26.png,975
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/904/904_25.png,904,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/904/904_40.png,904
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/994/994_23.png,994,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/994/994_32.png,994
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/989/989_47.png,989,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/989/989_6.png,989
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/981/981_26.png,981,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/981/981_42.png,981
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/865/865_31.png,865,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/865/865_47.png,865
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/857/857_0.png,857,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/857/857_44.png,857
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/848/848_11.png,848,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/848/848_27.png,848
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/801/801_10.png,801,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/801/801_48.png,801
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/891/891_0.png,891,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/891/891_24.png,891
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/908/908_36.png,908,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/908/908_37.png,908
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/845/845_1.png,845,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/845/845_34.png,845
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/942/942_21.png,942,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/942/942_28.png,942
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/960/960_13.png,960,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/960/960_21.png,960
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/881/881_2.png,881,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/881/881_40.png,881
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/844/844_16.png,844,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/844/844_7.png,844
