fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/913/913_11.png,913,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/913/913_16.png,913
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/942/942_3.png,942,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/942/942_42.png,942
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/891/891_3.png,891,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/891/891_5.png,891
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/943/943_32.png,943,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/943/943_37.png,943
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/823/823_11.png,823,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/823/823_12.png,823
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/881/881_45.png,881,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/881/881_49.png,881
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/890/890_1.png,890,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/890/890_29.png,890
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/993/993_20.png,993,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/993/993_41.png,993
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/965/965_49.png,965,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/965/965_7.png,965
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/992/992_15.png,992,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/992/992_25.png,992
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/902/902_23.png,902,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/902/902_44.png,902
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/910/910_10.png,910,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/910/910_5.png,910
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/825/825_20.png,825,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/825/825_29.png,825
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/930/930_27.png,930,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/930/930_43.png,930
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/909/909_34.png,909,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/909/909_47.png,909
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/837/837_32.png,837,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/837/837_33.png,837
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/952/952_24.png,952,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/952/952_31.png,952
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/894/894_11.png,894,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/894/894_18.png,894
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/871/871_16.png,871,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/871/871_5.png,871
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/854/854_10.png,854,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/854/854_47.png,854
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/984/984_10.png,984,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/984/984_41.png,984
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/997/997_0.png,997,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/997/997_7.png,997
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/921/921_16.png,921,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/921/921_8.png,921
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/891/891_14.png,891,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/891/891_31.png,891
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/820/820_33.png,820,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/820/820_36.png,820
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/990/990_47.png,990,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/990/990_49.png,990
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/909/909_21.png,909,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/909/909_32.png,909
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/972/972_13.png,972,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/972/972_28.png,972
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/822/822_12.png,822,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/822/822_40.png,822
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/803/803_26.png,803,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/803/803_34.png,803
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/984/984_29.png,984,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/984/984_6.png,984
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/844/844_24.png,844,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/844/844_4.png,844
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/803/803_33.png,803,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/803/803_39.png,803
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/865/865_37.png,865,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/865/865_4.png,865
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/995/995_12.png,995,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/995/995_22.png,995
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/839/839_20.png,839,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/839/839_37.png,839
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/940/940_41.png,940,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/940/940_42.png,940
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/987/987_12.png,987,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/987/987_30.png,987
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/894/894_21.png,894,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/894/894_8.png,894
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/859/859_13.png,859,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/859/859_19.png,859
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/838/838_19.png,838,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/838/838_48.png,838
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/918/918_14.png,918,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/918/918_32.png,918
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/898/898_36.png,898,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/898/898_8.png,898
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/837/837_32.png,837,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/964/964_29.png,964
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/821/821_19.png,821,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/905/905_17.png,905
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/841/841_37.png,841,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/861/861_32.png,861
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/827/827_35.png,827,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/919/919_40.png,919
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/870/870_46.png,870,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/951/951_25.png,951
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/843/843_15.png,843,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/939/939_37.png,939
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/810/810_4.png,810,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/860/860_34.png,860
