fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/854/854_12.png,854,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/854/854_24.png,854
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/989/989_28.png,989,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/989/989_46.png,989
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/859/859_34.png,859,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/859/859_8.png,859
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/878/878_23.png,878,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/878/878_40.png,878
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/868/868_11.png,868,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/868/868_40.png,868
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/969/969_28.png,969,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/969/969_4.png,969
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/801/801_35.png,801,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/801/801_49.png,801
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/822/822_1.png,822,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/822/822_39.png,822
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/868/868_2.png,868,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/868/868_33.png,868
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/948/948_22.png,948,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/948/948_32.png,948
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/853/853_13.png,853,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/853/853_28.png,853
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/997/997_3.png,997,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/997/997_9.png,997
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/971/971_37.png,971,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/971/971_48.png,971
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/974/974_45.png,974,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/974/974_46.png,974
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/916/916_18.png,916,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/916/916_39.png,916
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/988/988_19.png,988,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/988/988_22.png,988
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/903/903_13.png,903,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/903/903_34.png,903
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/916/916_16.png,916,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/916/916_20.png,916
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/866/866_35.png,866,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/866/866_40.png,866
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/888/888_22.png,888,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/888/888_33.png,888
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/806/806_15.png,806,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/806/806_46.png,806
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/868/868_3.png,868,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/868/868_7.png,868
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/871/871_20.png,871,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/871/871_36.png,871
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/811/811_8.png,811,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/825/825_25.png,825
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/806/806_24.png,806,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/925/925_14.png,925
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/841/841_49.png,841,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/965/965_12.png,965
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/832/832_33.png,832,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/953/953_2.png,953
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/847/847_40.png,847,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/892/892_42.png,892
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/818/818_1.png,818,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/943/943_31.png,943
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/848/848_1.png,848,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/983/983_3.png,983
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/943/943_28.png,943,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/974/974_44.png,974
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/868/868_27.png,868,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/905/905_19.png,905
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/844/844_42.png,844,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/928/928_46.png,928
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/817/817_36.png,817,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/940/940_48.png,940
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/873/873_23.png,873,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/885/885_4.png,885
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/848/848_38.png,848,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/883/883_14.png,883
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/908/908_29.png,908,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/924/924_30.png,924
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/864/864_41.png,864,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/894/894_11.png,894
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/805/805_19.png,805,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/946/946_15.png,946
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/967/967_48.png,967,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/972/972_45.png,972
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/944/944_33.png,944,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/953/953_45.png,953
