fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/954/954_18.png,954,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/954/954_5.png,954
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/893/893_35.png,893,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/893/893_40.png,893
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/872/872_17.png,872,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/872/872_27.png,872
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/900/900_1.png,900,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/900/900_39.png,900
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/854/854_13.png,854,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/854/854_45.png,854
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/924/924_25.png,924,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/924/924_30.png,924
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/822/822_21.png,822,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/822/822_39.png,822
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/956/956_19.png,956,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/956/956_6.png,956
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/859/859_46.png,859,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/859/859_9.png,859
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/908/908_17.png,908,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/908/908_21.png,908
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/934/934_25.png,934,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/934/934_27.png,934
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/980/980_23.png,980,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/980/980_39.png,980
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/926/926_15.png,926,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/926/926_5.png,926
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/959/959_42.png,959,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/959/959_49.png,959
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/943/943_12.png,943,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/943/943_25.png,943
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/960/960_25.png,960,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/960/960_39.png,960
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/891/891_3.png,891,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/891/891_6.png,891
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/830/830_23.png,830,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/830/830_26.png,830
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/817/817_24.png,817,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/817/817_9.png,817
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/956/956_20.png,956,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/956/956_49.png,956
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/951/951_33.png,951,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/951/951_45.png,951
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/942/942_15.png,942,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/942/942_32.png,942
