fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/856/856_12.png,856,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/856/856_47.png,856
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/815/815_43.png,815,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/815/815_8.png,815
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/904/904_15.png,904,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/904/904_25.png,904
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/900/900_34.png,900,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/900/900_41.png,900
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/866/866_13.png,866,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/866/866_26.png,866
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/902/902_14.png,902,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/902/902_32.png,902
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/846/846_14.png,846,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/846/846_47.png,846
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/952/952_34.png,952,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/952/952_47.png,952
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/881/881_17.png,881,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/881/881_34.png,881
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/973/973_38.png,973,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/973/973_47.png,973
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/940/940_48.png,940,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/940/940_9.png,940
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/894/894_49.png,894,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/894/894_9.png,894
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/823/823_28.png,823,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/823/823_3.png,823
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/887/887_11.png,887,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/887/887_36.png,887
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/874/874_15.png,874,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/874/874_9.png,874
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/842/842_25.png,842,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/842/842_9.png,842
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/994/994_49.png,994,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/994/994_7.png,994
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/806/806_18.png,806,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/806/806_33.png,806
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/967/967_30.png,967,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/967/967_41.png,967
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/889/889_21.png,889,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/889/889_28.png,889
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/938/938_0.png,938,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/938/938_44.png,938
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/970/970_10.png,970,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/970/970_44.png,970
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/882/882_24.png,882,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/882/882_6.png,882
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/877/877_11.png,877,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/877/877_46.png,877
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/922/922_17.png,922,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/922/922_37.png,922
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/825/825_2.png,825,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/825/825_7.png,825
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/861/861_49.png,861,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/985/985_33.png,985
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/805/805_18.png,805,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/847/847_30.png,847
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/862/862_15.png,862,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/866/866_35.png,866
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/948/948_46.png,948,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/968/968_6.png,968
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/919/919_14.png,919,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/930/930_41.png,930
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/877/877_31.png,877,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/966/966_40.png,966
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/806/806_25.png,806,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/826/826_39.png,826
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/872/872_42.png,872,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/969/969_32.png,969
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/842/842_29.png,842,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/877/877_47.png,877
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/870/870_49.png,870,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/962/962_12.png,962
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/824/824_24.png,824,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/997/997_29.png,997
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/842/842_11.png,842,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/955/955_24.png,955
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/874/874_19.png,874,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/947/947_2.png,947
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/881/881_10.png,881,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/924/924_3.png,924
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/894/894_17.png,894,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/898/898_7.png,898
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/831/831_7.png,831,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/925/925_44.png,925
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/863/863_7.png,863,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/912/912_22.png,912
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/813/813_12.png,813,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/921/921_20.png,921
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/874/874_1.png,874,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/946/946_9.png,946
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/885/885_46.png,885,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/975/975_45.png,975
