fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/860/860_0.png,860,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/860/860_3.png,860
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/805/805_26.png,805,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/805/805_38.png,805
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/844/844_14.png,844,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/844/844_44.png,844
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/986/986_14.png,986,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/986/986_5.png,986
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/806/806_17.png,806,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/806/806_4.png,806
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/867/867_13.png,867,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/867/867_30.png,867
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/801/801_41.png,801,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/801/801_8.png,801
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/851/851_10.png,851,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/913/913_4.png,913
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/807/807_35.png,807,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/984/984_20.png,984
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/809/809_30.png,809,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/864/864_5.png,864
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/889/889_10.png,889,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/957/957_30.png,957
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/909/909_15.png,909,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/991/991_26.png,991
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/892/892_25.png,892,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/933/933_35.png,933
