fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/815/815_45.png,815,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/815/815_7.png,815
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/839/839_41.png,839,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/839/839_6.png,839
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/872/872_3.png,872,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/872/872_39.png,872
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/874/874_49.png,874,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/874/874_9.png,874
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/963/963_20.png,963,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/963/963_21.png,963
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/841/841_11.png,841,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/841/841_7.png,841
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/838/838_14.png,838,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/838/838_30.png,838
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/821/821_12.png,821,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/821/821_18.png,821
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/894/894_39.png,894,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/894/894_4.png,894
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/871/871_39.png,871,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/871/871_46.png,871
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/820/820_36.png,820,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/820/820_5.png,820
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/937/937_20.png,937,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/937/937_8.png,937
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/882/882_14.png,882,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/882/882_18.png,882
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/986/986_14.png,986,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/986/986_5.png,986
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/924/924_14.png,924,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/924/924_45.png,924
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/874/874_13.png,874,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/874/874_24.png,874
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/995/995_45.png,995,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/995/995_5.png,995
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/922/922_23.png,922,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/922/922_27.png,922
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/952/952_29.png,952,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/952/952_39.png,952
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/823/823_10.png,823,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/823/823_37.png,823
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/838/838_29.png,838,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/838/838_45.png,838
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/945/945_14.png,945,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/945/945_40.png,945
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/835/835_33.png,835,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/910/910_15.png,910
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/851/851_10.png,851,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/913/913_4.png,913
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/854/854_8.png,854,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/993/993_3.png,993
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/807/807_35.png,807,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/984/984_20.png,984
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/910/910_18.png,910,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/913/913_5.png,913
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/902/902_38.png,902,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/987/987_49.png,987
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/946/946_2.png,946,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/988/988_15.png,988
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/901/901_46.png,901,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/970/970_26.png,970
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/816/816_1.png,816,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/999/999_27.png,999
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/812/812_20.png,812,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/970/970_5.png,970
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/973/973_20.png,973,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/984/984_44.png,984
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/843/843_10.png,843,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/931/931_47.png,931
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/914/914_2.png,914,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/966/966_34.png,966
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/940/940_48.png,940,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/987/987_37.png,987
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/869/869_2.png,869,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/904/904_16.png,904
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/820/820_25.png,820,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/838/838_34.png,838
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/809/809_30.png,809,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/864/864_5.png,864
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/889/889_10.png,889,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/957/957_30.png,957
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/805/805_27.png,805,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/815/815_46.png,815
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/844/844_15.png,844,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/959/959_40.png,959
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/960/960_48.png,960,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/968/968_37.png,968
