fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/984/984_12.png,984,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/984/984_8.png,984
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/800/800_19.png,800,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/800/800_28.png,800
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/947/947_24.png,947,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/947/947_33.png,947
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/973/973_10.png,973,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/973/973_9.png,973
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/934/934_13.png,934,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/934/934_47.png,934
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/860/860_0.png,860,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/860/860_3.png,860
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/805/805_26.png,805,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/805/805_38.png,805
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/865/865_35.png,865,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/865/865_5.png,865
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/931/931_32.png,931,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/931/931_44.png,931
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/837/837_1.png,837,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/837/837_37.png,837
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/931/931_20.png,931,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/931/931_40.png,931
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/872/872_2.png,872,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/872/872_5.png,872
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/913/913_1.png,913,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/913/913_14.png,913
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/996/996_14.png,996,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/996/996_9.png,996
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/935/935_24.png,935,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/935/935_43.png,935
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/844/844_14.png,844,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/844/844_44.png,844
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/978/978_36.png,978,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/978/978_45.png,978
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/842/842_32.png,842,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/842/842_37.png,842
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/861/861_28.png,861,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/861/861_32.png,861
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/806/806_17.png,806,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/806/806_4.png,806
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/958/958_12.png,958,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/958/958_20.png,958
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/810/810_18.png,810,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/810/810_22.png,810
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/966/966_49.png,966,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/966/966_8.png,966
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/979/979_17.png,979,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/979/979_9.png,979
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/955/955_20.png,955,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/955/955_4.png,955
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/867/867_13.png,867,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/867/867_30.png,867
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/808/808_3.png,808,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/808/808_6.png,808
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/801/801_41.png,801,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/801/801_8.png,801
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/821/821_1.png,821,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/859/859_38.png,859
