fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/854/854_13.png,854,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/854/854_45.png,854
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/894/894_49.png,894,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/894/894_9.png,894
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/832/832_29.png,832,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/850/850_45.png,850
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/817/817_22.png,817,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/834/834_38.png,834
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/806/806_25.png,806,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/826/826_39.png,826
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/894/894_30.png,894,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/939/939_5.png,939
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/875/875_48.png,875,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/957/957_20.png,957
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/824/824_36.png,824,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/836/836_35.png,836
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/872/872_42.png,872,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/969/969_32.png,969
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/889/889_6.png,889,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/953/953_7.png,953
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/908/908_18.png,908,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/992/992_47.png,992
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/896/896_39.png,896,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/994/994_32.png,994
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/957/957_32.png,957,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/990/990_26.png,990
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/870/870_49.png,870,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/962/962_12.png,962
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/852/852_1.png,852,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/999/999_31.png,999
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/884/884_14.png,884,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/996/996_15.png,996
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/912/912_43.png,912,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/932/932_2.png,932
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/824/824_24.png,824,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/997/997_29.png,997
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/898/898_47.png,898,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/922/922_39.png,922
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/858/858_2.png,858,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/895/895_32.png,895
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/874/874_19.png,874,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/947/947_2.png,947
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/836/836_7.png,836,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/874/874_38.png,874
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/881/881_10.png,881,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/924/924_3.png,924
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/875/875_5.png,875,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/890/890_40.png,890
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/821/821_16.png,821,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/833/833_12.png,833
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/809/809_26.png,809,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/949/949_42.png,949
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/863/863_7.png,863,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/912/912_22.png,912
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/971/971_32.png,971,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/987/987_34.png,987
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/874/874_1.png,874,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/946/946_9.png,946
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/885/885_46.png,885,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/975/975_45.png,975
