fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/907/907_2.png,907,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/907/907_29.png,907
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/921/921_19.png,921,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/921/921_9.png,921
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/892/892_3.png,892,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/892/892_31.png,892
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/834/834_33.png,834,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/834/834_36.png,834
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/955/955_26.png,955,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/955/955_6.png,955
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/801/801_36.png,801,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/801/801_37.png,801
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/919/919_1.png,919,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/919/919_37.png,919
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/896/896_22.png,896,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/896/896_8.png,896
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/814/814_16.png,814,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/814/814_44.png,814
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/968/968_11.png,968,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/968/968_47.png,968
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/860/860_11.png,860,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/860/860_34.png,860
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/861/861_28.png,861,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/861/861_38.png,861
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/902/902_27.png,902,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/902/902_47.png,902
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/949/949_10.png,949,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/949/949_17.png,949
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/890/890_13.png,890,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/890/890_44.png,890
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/955/955_4.png,955,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/955/955_5.png,955
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/847/847_46.png,847,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/847/847_5.png,847
