fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/822/822_48.png,822,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/822/822_49.png,822
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/905/905_3.png,905,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/905/905_49.png,905
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/815/815_34.png,815,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/815/815_5.png,815
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/864/864_12.png,864,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/864/864_20.png,864
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/957/957_0.png,957,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/957/957_19.png,957
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/831/831_33.png,831,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/831/831_6.png,831
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/840/840_36.png,840,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/876/876_46.png,876
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/978/978_47.png,978,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/994/994_29.png,994
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/899/899_32.png,899,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/936/936_40.png,936
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/868/868_41.png,868,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/909/909_29.png,909
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/802/802_19.png,802,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/926/926_22.png,926
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/937/937_9.png,937,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/971/971_44.png,971
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/933/933_31.png,933,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/976/976_2.png,976
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/823/823_48.png,823,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/886/886_32.png,886
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/844/844_36.png,844,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/954/954_0.png,954
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/829/829_38.png,829,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/830/830_10.png,830
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/884/884_31.png,884,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/929/929_30.png,929
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/818/818_6.png,818,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/989/989_42.png,989
