fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/935/935_29.png,935,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/935/935_39.png,935
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/917/917_22.png,917,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/917/917_28.png,917
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/809/809_3.png,809,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/809/809_37.png,809
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/888/888_23.png,888,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/888/888_27.png,888
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/840/840_22.png,840,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/840/840_5.png,840
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/857/857_19.png,857,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/857/857_41.png,857
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/895/895_47.png,895,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/895/895_7.png,895
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/860/860_17.png,860,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/860/860_8.png,860
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/960/960_40.png,960,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/960/960_49.png,960
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/992/992_26.png,992,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/992/992_34.png,992
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/903/903_30.png,903,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/903/903_35.png,903
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/979/979_32.png,979,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/979/979_8.png,979
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/849/849_17.png,849,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/849/849_29.png,849
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/991/991_28.png,991,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/991/991_40.png,991
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/937/937_27.png,937,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/937/937_32.png,937
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/814/814_1.png,814,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/814/814_49.png,814
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/956/956_37.png,956,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/956/956_45.png,956
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/990/990_31.png,990,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/990/990_42.png,990
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/855/855_1.png,855,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/855/855_2.png,855
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/889/889_45.png,889,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/889/889_8.png,889
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/953/953_1.png,953,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/953/953_2.png,953
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/827/827_17.png,827,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/827/827_23.png,827
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/868/868_26.png,868,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/868/868_40.png,868
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/864/864_26.png,864,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/864/864_44.png,864
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/881/881_22.png,881,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/881/881_37.png,881
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/900/900_27.png,900,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/900/900_5.png,900
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/994/994_13.png,994,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/994/994_4.png,994
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/945/945_24.png,945,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/945/945_43.png,945
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/878/878_30.png,878,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/878/878_6.png,878
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/848/848_19.png,848,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/848/848_36.png,848
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/990/990_17.png,990,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/990/990_8.png,990
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/806/806_0.png,806,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/806/806_47.png,806
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/885/885_1.png,885,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/885/885_8.png,885
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/800/800_19.png,800,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/800/800_41.png,800
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/918/918_43.png,918,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/918/918_5.png,918
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/980/980_40.png,980,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/980/980_8.png,980
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/805/805_4.png,805,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/805/805_45.png,805
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/969/969_15.png,969,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/969/969_40.png,969
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/991/991_23.png,991,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/991/991_7.png,991
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/870/870_36.png,870,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/870/870_42.png,870
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/902/902_10.png,902,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/902/902_37.png,902
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/802/802_12.png,802,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/802/802_14.png,802
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/893/893_18.png,893,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/893/893_40.png,893
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/821/821_12.png,821,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/821/821_9.png,821
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/813/813_21.png,813,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/998/998_48.png,998
