fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/913/913_11.png,913,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/913/913_16.png,913
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/891/891_3.png,891,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/891/891_5.png,891
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/943/943_32.png,943,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/943/943_37.png,943
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/823/823_11.png,823,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/823/823_12.png,823
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/881/881_45.png,881,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/881/881_49.png,881
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/993/993_20.png,993,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/993/993_41.png,993
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/965/965_49.png,965,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/965/965_7.png,965
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/992/992_15.png,992,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/992/992_25.png,992
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/902/902_23.png,902,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/902/902_44.png,902
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/910/910_10.png,910,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/910/910_5.png,910
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/825/825_20.png,825,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/825/825_29.png,825
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/810/810_12.png,810,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/810/810_44.png,810
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/837/837_32.png,837,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/837/837_33.png,837
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/952/952_24.png,952,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/952/952_31.png,952
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/894/894_11.png,894,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/894/894_18.png,894
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/871/871_16.png,871,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/871/871_5.png,871
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/854/854_10.png,854,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/854/854_47.png,854
