fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/860/860_0.png,860,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/860/860_3.png,860
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/805/805_26.png,805,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/805/805_38.png,805
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/963/963_20.png,963,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/963/963_21.png,963
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/931/931_20.png,931,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/931/931_40.png,931
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/913/913_1.png,913,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/913/913_14.png,913
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/821/821_12.png,821,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/821/821_18.png,821
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/935/935_24.png,935,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/935/935_43.png,935
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/844/844_14.png,844,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/844/844_44.png,844
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/894/894_39.png,894,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/894/894_4.png,894
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/937/937_20.png,937,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/937/937_8.png,937
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/806/806_17.png,806,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/806/806_4.png,806
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/995/995_45.png,995,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/995/995_5.png,995
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/945/945_14.png,945,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/945/945_40.png,945
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/854/854_8.png,854,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/993/993_3.png,993
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/869/869_2.png,869,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/904/904_16.png,904
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/809/809_30.png,809,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/864/864_5.png,864
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/861/861_17.png,861,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/902/902_25.png,902
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/909/909_15.png,909,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/991/991_26.png,991
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/853/853_48.png,853,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/927/927_34.png,927
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/804/804_47.png,804,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/878/878_18.png,878
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/917/917_49.png,917,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/975/975_7.png,975
