fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/911/911_13.png,911,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/911/911_8.png,911
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/928/928_3.png,928,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/928/928_40.png,928
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/909/909_13.png,909,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/909/909_5.png,909
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/854/854_12.png,854,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/854/854_24.png,854
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/817/817_12.png,817,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/817/817_41.png,817
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/879/879_28.png,879,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/879/879_43.png,879
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/914/914_23.png,914,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/914/914_44.png,914
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/989/989_28.png,989,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/989/989_46.png,989
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/804/804_15.png,804,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/804/804_40.png,804
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/835/835_12.png,835,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/835/835_13.png,835
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/977/977_4.png,977,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/977/977_6.png,977
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/859/859_34.png,859,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/859/859_8.png,859
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/878/878_23.png,878,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/878/878_40.png,878
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/868/868_11.png,868,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/868/868_40.png,868
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/884/884_38.png,884,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/884/884_47.png,884
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/999/999_22.png,999,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/999/999_7.png,999
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/969/969_28.png,969,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/969/969_4.png,969
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/801/801_35.png,801,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/801/801_49.png,801
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/822/822_1.png,822,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/822/822_39.png,822
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/826/826_34.png,826,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/826/826_35.png,826
