fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/854/854_12.png,854,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/854/854_24.png,854
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/868/868_11.png,868,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/868/868_40.png,868
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/884/884_38.png,884,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/884/884_47.png,884
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/801/801_35.png,801,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/801/801_49.png,801
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/891/891_42.png,891,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/891/891_48.png,891
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/997/997_3.png,997,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/997/997_9.png,997
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/866/866_35.png,866,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/866/866_40.png,866
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/806/806_15.png,806,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/806/806_46.png,806
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/820/820_43.png,820,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/895/895_11.png,895
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/929/929_33.png,929,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/986/986_4.png,986
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/841/841_49.png,841,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/965/965_12.png,965
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/848/848_38.png,848,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/883/883_14.png,883
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/908/908_29.png,908,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/924/924_30.png,924
/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/858/858_22.png,858,/Users/kcollins/invariant_face_data/illum_data/ill_normal_mvn_test/img/967/967_34.png,967
