fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/805/805_0.png,805,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/805/805_37.png,805
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/985/985_29.png,985,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/985/985_4.png,985
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/838/838_15.png,838,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/838/838_2.png,838
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/931/931_13.png,931,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/931/931_42.png,931
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/948/948_17.png,948,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/948/948_45.png,948
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/826/826_17.png,826,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/826/826_32.png,826
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/824/824_22.png,824,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/824/824_49.png,824
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/888/888_38.png,888,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/888/888_4.png,888
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/920/920_17.png,920,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/920/920_26.png,920
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/931/931_25.png,931,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/931/931_26.png,931
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/831/831_14.png,831,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/831/831_22.png,831
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/979/979_37.png,979,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/979/979_49.png,979
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/814/814_10.png,814,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/814/814_5.png,814
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/853/853_10.png,853,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/853/853_34.png,853
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/858/858_3.png,858,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/858/858_34.png,858
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/801/801_28.png,801,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/801/801_29.png,801
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/923/923_28.png,923,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/923/923_41.png,923
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/882/882_1.png,882,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/882/882_26.png,882
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/852/852_13.png,852,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/852/852_30.png,852
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/805/805_26.png,805,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/805/805_36.png,805
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/845/845_13.png,845,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/845/845_40.png,845
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/824/824_12.png,824,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/824/824_16.png,824
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/973/973_27.png,973,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/973/973_45.png,973
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/925/925_39.png,925,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/925/925_45.png,925
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/905/905_12.png,905,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/905/905_25.png,905
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/918/918_35.png,918,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/918/918_6.png,918
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/870/870_31.png,870,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/870/870_41.png,870
