fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/886/886_12.png,886,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/886/886_22.png,886
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/907/907_14.png,907,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/907/907_26.png,907
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/840/840_34.png,840,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/840/840_36.png,840
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/819/819_13.png,819,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/819/819_3.png,819
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/809/809_36.png,809,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/809/809_5.png,809
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/864/864_19.png,864,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/864/864_26.png,864
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/875/875_1.png,875,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/875/875_7.png,875
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/898/898_12.png,898,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/898/898_17.png,898
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/947/947_1.png,947,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/947/947_8.png,947
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/831/831_37.png,831,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/831/831_5.png,831
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/966/966_15.png,966,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/966/966_44.png,966
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/816/816_21.png,816,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/816/816_3.png,816
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/805/805_1.png,805,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/805/805_32.png,805
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/803/803_22.png,803,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/803/803_35.png,803
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/816/816_1.png,816,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/816/816_25.png,816
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/850/850_10.png,850,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/850/850_42.png,850
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/941/941_0.png,941,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/941/941_36.png,941
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/930/930_1.png,930,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/930/930_3.png,930
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/827/827_27.png,827,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/827/827_36.png,827
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/877/877_13.png,877,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/877/877_21.png,877
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/888/888_22.png,888,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/888/888_34.png,888
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/852/852_26.png,852,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/852/852_41.png,852
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/800/800_23.png,800,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/800/800_25.png,800
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/822/822_16.png,822,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/822/822_30.png,822
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/867/867_2.png,867,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/867/867_29.png,867
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/839/839_35.png,839,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/839/839_48.png,839
