fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/923/923_13.png,923,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/923/923_2.png,923
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/989/989_13.png,989,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/989/989_42.png,989
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/847/847_36.png,847,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/847/847_39.png,847
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/911/911_35.png,911,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/911/911_47.png,911
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/841/841_16.png,841,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/841/841_36.png,841
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/889/889_15.png,889,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/889/889_7.png,889
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/975/975_0.png,975,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/975/975_41.png,975
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/979/979_11.png,979,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/979/979_46.png,979
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/884/884_3.png,884,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/884/884_49.png,884
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/841/841_24.png,841,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/841/841_31.png,841
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/814/814_17.png,814,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/814/814_24.png,814
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/965/965_27.png,965,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/965/965_31.png,965
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/995/995_37.png,995,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/995/995_41.png,995
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/894/894_12.png,894,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/894/894_45.png,894
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/915/915_11.png,915,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/915/915_12.png,915
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/825/825_16.png,825,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/825/825_38.png,825
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/922/922_40.png,922,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/922/922_42.png,922
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/931/931_46.png,931,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/931/931_9.png,931
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/911/911_33.png,911,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/911/911_40.png,911
