fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/857/857_45.png,857,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/857/857_47.png,857
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/814/814_28.png,814,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/814/814_33.png,814
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/983/983_24.png,983,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/983/983_3.png,983
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/913/913_33.png,913,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/913/913_44.png,913
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/858/858_1.png,858,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/858/858_29.png,858
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/999/999_4.png,999,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/999/999_49.png,999
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/824/824_27.png,824,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/824/824_43.png,824
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/997/997_20.png,997,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/997/997_3.png,997
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/977/977_16.png,977,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/977/977_25.png,977
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/936/936_24.png,936,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/936/936_8.png,936
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/994/994_24.png,994,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/994/994_31.png,994
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/927/927_22.png,927,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/927/927_9.png,927
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/937/937_47.png,937,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/937/937_7.png,937
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/890/890_31.png,890,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/890/890_38.png,890
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/926/926_16.png,926,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/926/926_42.png,926
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/940/940_20.png,940,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/940/940_25.png,940
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/875/875_2.png,875,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/875/875_36.png,875
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/819/819_13.png,819,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/819/819_14.png,819
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/929/929_17.png,929,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/929/929_23.png,929
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/821/821_38.png,821,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/821/821_43.png,821
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/816/816_14.png,816,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/816/816_32.png,816
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/880/880_0.png,880,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/880/880_2.png,880
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/867/867_24.png,867,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/867/867_6.png,867
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/841/841_33.png,841,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/845/845_23.png,845
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/939/939_37.png,939,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/984/984_26.png,984
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/840/840_37.png,840,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/934/934_21.png,934
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/914/914_25.png,914,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/944/944_31.png,944
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/819/819_47.png,819,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/913/913_44.png,913
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/934/934_31.png,934,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/977/977_48.png,977
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/826/826_20.png,826,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/991/991_29.png,991
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/803/803_4.png,803,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/892/892_45.png,892
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/938/938_42.png,938,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/976/976_32.png,976
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/892/892_47.png,892,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/897/897_45.png,897
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/821/821_5.png,821,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/999/999_38.png,999
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/812/812_15.png,812,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/828/828_36.png,828
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/960/960_46.png,960,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/964/964_26.png,964
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/898/898_0.png,898,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/925/925_24.png,925
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/813/813_45.png,813,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/949/949_18.png,949
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/883/883_3.png,883,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/885/885_43.png,885
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/940/940_19.png,940,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/979/979_35.png,979
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/831/831_13.png,831,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/972/972_44.png,972
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/898/898_14.png,898,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/914/914_16.png,914
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/827/827_28.png,827,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/970/970_0.png,970
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/842/842_39.png,842,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/954/954_15.png,954
