fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/901/901_16.png,901,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/901/901_39.png,901
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/915/915_25.png,915,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/915/915_41.png,915
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/847/847_12.png,847,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/847/847_28.png,847
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/875/875_21.png,875,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/875/875_45.png,875
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/810/810_24.png,810,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/810/810_5.png,810
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/932/932_14.png,932,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/932/932_21.png,932
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/851/851_15.png,851,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/884/884_45.png,884
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/808/808_36.png,808,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/836/836_5.png,836
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/924/924_33.png,924,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/968/968_2.png,968
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/885/885_47.png,885,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/889/889_44.png,889
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/813/813_41.png,813,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/934/934_41.png,934
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/852/852_19.png,852,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/883/883_16.png,883
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/837/837_35.png,837,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/910/910_23.png,910
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/807/807_34.png,807,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/922/922_1.png,922
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/815/815_9.png,815,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/895/895_6.png,895
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/880/880_47.png,880,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/947/947_24.png,947
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/810/810_22.png,810,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/882/882_7.png,882
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/826/826_6.png,826,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/880/880_14.png,880
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/800/800_2.png,800,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/941/941_3.png,941
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/852/852_4.png,852,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/863/863_13.png,863
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/854/854_37.png,854,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/957/957_29.png,957
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/946/946_45.png,946,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/978/978_7.png,978
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/921/921_19.png,921,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/953/953_29.png,953
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/842/842_18.png,842,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/858/858_5.png,858
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/846/846_5.png,846,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/967/967_4.png,967
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/824/824_47.png,824,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/943/943_21.png,943
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/916/916_7.png,916,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/919/919_0.png,919
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/852/852_29.png,852,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/941/941_48.png,941
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/892/892_33.png,892,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/916/916_27.png,916
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/827/827_45.png,827,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/958/958_15.png,958
/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/825/825_40.png,825,/Users/kcollins/invariant_face_data/illum_data/ill_extreme_mvn_test/img/839/839_16.png,839
