fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/875/875_19.png,875,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/875/875_7.png,875
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/956/956_17.png,956,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/956/956_44.png,956
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/972/972_27.png,972,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/972/972_36.png,972
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/800/800_14.png,800,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/800/800_28.png,800
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/898/898_40.png,898,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/898/898_45.png,898
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/988/988_15.png,988,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/988/988_32.png,988
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/849/849_14.png,849,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/881/881_25.png,881
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/884/884_13.png,884,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/952/952_42.png,952
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/811/811_11.png,811,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/985/985_20.png,985
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/843/843_11.png,843,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/886/886_19.png,886
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/890/890_32.png,890,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/895/895_29.png,895
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/814/814_2.png,814,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/826/826_31.png,826
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/807/807_23.png,807,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/925/925_0.png,925
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/847/847_15.png,847,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/994/994_24.png,994
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/802/802_14.png,802,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/900/900_3.png,900
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/847/847_19.png,847,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/934/934_16.png,934
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/892/892_21.png,892,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/971/971_3.png,971
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/902/902_24.png,902,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/935/935_46.png,935
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/949/949_19.png,949,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/968/968_22.png,968
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/978/978_5.png,978,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/991/991_22.png,991
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/903/903_20.png,903,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/944/944_19.png,944
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/828/828_1.png,828,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/948/948_28.png,948
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/909/909_47.png,909,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/953/953_15.png,953
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/944/944_37.png,944,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/951/951_15.png,951
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/844/844_11.png,844,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/949/949_35.png,949
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/816/816_6.png,816,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/849/849_5.png,849
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/921/921_24.png,921,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/928/928_6.png,928
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/826/826_15.png,826,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/990/990_48.png,990
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/918/918_36.png,918,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/959/959_23.png,959
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/976/976_44.png,976,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/999/999_39.png,999
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/904/904_34.png,904,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/925/925_44.png,925
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/845/845_1.png,845,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/847/847_43.png,847
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/947/947_15.png,947,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/967/967_29.png,967
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/833/833_11.png,833,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/912/912_32.png,912
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/889/889_21.png,889,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/959/959_32.png,959
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/807/807_2.png,807,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/925/925_10.png,925
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/869/869_20.png,869,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/986/986_17.png,986
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/804/804_25.png,804,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/860/860_45.png,860
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/819/819_48.png,819,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/848/848_10.png,848
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/850/850_37.png,850,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/858/858_40.png,858
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/917/917_33.png,917,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/922/922_19.png,922
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/823/823_14.png,823,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/917/917_49.png,917
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/939/939_8.png,939,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/962/962_5.png,962
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/878/878_40.png,878,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/938/938_31.png,938
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/919/919_22.png,919,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/943/943_26.png,943
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/915/915_29.png,915,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/959/959_32.png,959
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/806/806_47.png,806,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/877/877_41.png,877
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/937/937_0.png,937,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/990/990_28.png,990
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/821/821_35.png,821,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/969/969_6.png,969
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/942/942_40.png,942,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/967/967_41.png,967
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/913/913_4.png,913,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/990/990_32.png,990
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/844/844_20.png,844,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/997/997_39.png,997
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/809/809_10.png,809,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/950/950_24.png,950
