fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/980/980_7.png,980,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/980/980_9.png,980
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/853/853_14.png,853,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/853/853_26.png,853
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/829/829_1.png,829,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/829/829_31.png,829
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/846/846_1.png,846,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/846/846_11.png,846
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/806/806_16.png,806,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/806/806_44.png,806
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/944/944_44.png,944,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/944/944_48.png,944
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/978/978_23.png,978,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/978/978_30.png,978
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/923/923_18.png,923,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/927/927_30.png,927
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/950/950_29.png,950,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/964/964_31.png,964
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/960/960_33.png,960,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/967/967_9.png,967
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/905/905_29.png,905,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/946/946_16.png,946
