fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/913/913_14.png,913,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/913/913_45.png,913
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/909/909_25.png,909,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/909/909_29.png,909
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/802/802_3.png,802,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/802/802_40.png,802
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/848/848_0.png,848,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/848/848_21.png,848
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/975/975_10.png,975,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/975/975_27.png,975
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/822/822_11.png,822,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/822/822_26.png,822
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/991/991_21.png,991,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/991/991_36.png,991
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/851/851_17.png,851,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/851/851_49.png,851
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/872/872_16.png,872,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/872/872_32.png,872
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/827/827_26.png,827,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/827/827_39.png,827
