fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/948/948_18.png,948,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/948/948_40.png,948
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/960/960_14.png,960,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/960/960_40.png,960
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/973/973_19.png,973,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/973/973_7.png,973
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/883/883_15.png,883,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/883/883_6.png,883
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/814/814_13.png,814,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/814/814_28.png,814
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/810/810_3.png,810,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/810/810_36.png,810
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/925/925_28.png,925,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/925/925_5.png,925
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/819/819_33.png,819,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/819/819_38.png,819
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/876/876_24.png,876,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/876/876_4.png,876
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/904/904_15.png,904,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/904/904_19.png,904
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/959/959_16.png,959,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/959/959_5.png,959
