fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/935/935_31.png,935,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/935/935_46.png,935
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/831/831_13.png,831,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/831/831_25.png,831
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/801/801_13.png,801,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/801/801_22.png,801
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/990/990_37.png,990,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/990/990_38.png,990
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/845/845_0.png,845,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/845/845_30.png,845
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/825/825_23.png,825,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/825/825_35.png,825
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/903/903_19.png,903,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/903/903_22.png,903
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/833/833_11.png,833,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/833/833_44.png,833
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/952/952_37.png,952,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/972/972_25.png,972
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/813/813_4.png,813,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/943/943_30.png,943
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/810/810_37.png,810,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/901/901_18.png,901
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/848/848_30.png,848,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/905/905_16.png,905
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/835/835_40.png,835,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/841/841_35.png,841
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/936/936_35.png,936,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/972/972_16.png,972
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/873/873_16.png,873,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/897/897_14.png,897
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/861/861_18.png,861,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/960/960_13.png,960
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/908/908_36.png,908,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/937/937_43.png,937
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/928/928_25.png,928,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/969/969_42.png,969
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/939/939_19.png,939,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/950/950_1.png,950
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/836/836_25.png,836,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/907/907_33.png,907
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/941/941_16.png,941,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/976/976_33.png,976
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/804/804_2.png,804,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/830/830_25.png,830
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/883/883_5.png,883,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/974/974_11.png,974
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/814/814_38.png,814,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/818/818_13.png,818
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/842/842_0.png,842,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/958/958_0.png,958
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/861/861_8.png,861,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/948/948_6.png,948
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/804/804_4.png,804,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/965/965_22.png,965
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/829/829_6.png,829,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/973/973_40.png,973
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/806/806_11.png,806,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/901/901_23.png,901
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/857/857_45.png,857,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/871/871_23.png,871
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/946/946_27.png,946,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/950/950_11.png,950
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/932/932_3.png,932,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/973/973_46.png,973
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/826/826_39.png,826,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/950/950_13.png,950
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/849/849_3.png,849,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/925/925_30.png,925
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/916/916_31.png,916,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/986/986_27.png,986
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/870/870_41.png,870,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/885/885_36.png,885
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/867/867_27.png,867,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/999/999_27.png,999
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/922/922_15.png,922,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/970/970_21.png,970
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/898/898_38.png,898,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/990/990_31.png,990
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/862/862_30.png,862,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/961/961_32.png,961
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/926/926_20.png,926,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/981/981_33.png,981
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/832/832_4.png,832,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/981/981_42.png,981
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/827/827_9.png,827,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/894/894_40.png,894
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/873/873_20.png,873,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/958/958_47.png,958
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/834/834_38.png,834,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/974/974_25.png,974
