fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/999/999_27.png,999,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/999/999_32.png,999
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/908/908_18.png,908,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/908/908_8.png,908
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/807/807_33.png,807,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/807/807_39.png,807
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/849/849_30.png,849,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/849/849_35.png,849
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/939/939_17.png,939,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/939/939_3.png,939
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/965/965_5.png,965,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/965/965_8.png,965
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/804/804_42.png,804,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/903/903_46.png,903
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/837/837_11.png,837,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/845/845_37.png,845
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/855/855_45.png,855,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/973/973_47.png,973
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/810/810_45.png,810,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/843/843_17.png,843
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/845/845_36.png,845,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/944/944_5.png,944
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/813/813_21.png,813,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/848/848_15.png,848
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/972/972_28.png,972,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/999/999_43.png,999
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/851/851_33.png,851,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/950/950_35.png,950
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/800/800_34.png,800,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/855/855_46.png,855
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/948/948_37.png,948,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/950/950_15.png,950
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/933/933_8.png,933,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/982/982_29.png,982
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/983/983_2.png,983,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/995/995_9.png,995
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/920/920_8.png,920,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/927/927_8.png,927
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/880/880_9.png,880,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/957/957_0.png,957
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/963/963_32.png,963,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/989/989_48.png,989
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/915/915_7.png,915,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/931/931_25.png,931
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/904/904_31.png,904,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/955/955_14.png,955
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/819/819_45.png,819,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/927/927_5.png,927
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/883/883_18.png,883,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/939/939_19.png,939
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/895/895_15.png,895,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/903/903_44.png,903
