fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/916/916_10.png,916,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/916/916_4.png,916
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/984/984_25.png,984,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/984/984_8.png,984
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/984/984_10.png,984,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/984/984_5.png,984
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/980/980_42.png,980,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/980/980_44.png,980
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/894/894_10.png,894,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/894/894_8.png,894
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/905/905_31.png,905,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/905/905_44.png,905
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/887/887_21.png,887,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/887/887_8.png,887
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/980/980_26.png,980,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/980/980_42.png,980
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/803/803_22.png,803,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/803/803_24.png,803
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/878/878_24.png,878,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/878/878_9.png,878
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/860/860_30.png,860,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/860/860_42.png,860
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/869/869_39.png,869,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/869/869_42.png,869
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/908/908_28.png,908,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/908/908_39.png,908
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/811/811_19.png,811,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/811/811_23.png,811
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/993/993_18.png,993,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/993/993_39.png,993
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/823/823_27.png,823,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/823/823_31.png,823
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/955/955_20.png,955,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/955/955_45.png,955
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/895/895_43.png,895,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/895/895_47.png,895
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/984/984_27.png,984,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/984/984_4.png,984
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/921/921_21.png,921,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/921/921_42.png,921
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/982/982_46.png,982,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/982/982_7.png,982
