fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/856/856_1.png,856,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/856/856_22.png,856
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/927/927_10.png,927,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/927/927_20.png,927
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/862/862_8.png,862,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/969/969_16.png,969
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/908/908_6.png,908,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/996/996_47.png,996
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/872/872_13.png,872,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/915/915_48.png,915
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/802/802_49.png,802,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/996/996_40.png,996
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/801/801_17.png,801,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/821/821_11.png,821
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/872/872_35.png,872,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/875/875_5.png,875
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/921/921_2.png,921,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/940/940_42.png,940
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/815/815_33.png,815,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/836/836_37.png,836
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/908/908_22.png,908,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/958/958_36.png,958
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/886/886_3.png,886,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/984/984_2.png,984
