fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/814/814_13.png,814,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/814/814_5.png,814
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/996/996_17.png,996,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/996/996_21.png,996
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/947/947_34.png,947,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/947/947_37.png,947
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/962/962_16.png,962,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/962/962_3.png,962
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/918/918_19.png,918,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/918/918_3.png,918
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/863/863_10.png,863,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/863/863_9.png,863
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/938/938_27.png,938,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/938/938_45.png,938
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/939/939_3.png,939,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/939/939_48.png,939
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/877/877_13.png,877,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/877/877_8.png,877
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/814/814_16.png,814,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/814/814_38.png,814
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/943/943_5.png,943,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/943/943_6.png,943
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/985/985_35.png,985,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/985/985_6.png,985
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/921/921_27.png,921,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/921/921_36.png,921
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/994/994_1.png,994,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/994/994_40.png,994
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/903/903_10.png,903,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/903/903_46.png,903
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/848/848_31.png,848,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/848/848_44.png,848
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/908/908_11.png,908,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/908/908_31.png,908
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/885/885_24.png,885,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/885/885_25.png,885
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/973/973_0.png,973,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/973/973_37.png,973
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/882/882_15.png,882,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/882/882_24.png,882
