fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/931/931_3.png,931,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/931/931_35.png,931
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/932/932_14.png,932,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/932/932_43.png,932
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/907/907_34.png,907,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/907/907_39.png,907
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/877/877_20.png,877,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/877/877_47.png,877
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/980/980_25.png,980,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/980/980_41.png,980
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/987/987_46.png,987,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/987/987_48.png,987
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/953/953_13.png,953,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/953/953_48.png,953
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/989/989_16.png,989,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/989/989_21.png,989
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/971/971_13.png,971,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/971/971_29.png,971
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/919/919_25.png,919,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/919/919_37.png,919
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/917/917_23.png,917,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/917/917_37.png,917
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/922/922_29.png,922,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/922/922_42.png,922
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/907/907_31.png,907,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/907/907_44.png,907
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/854/854_25.png,854,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/980/980_45.png,980
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/960/960_42.png,960,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/986/986_39.png,986
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/988/988_34.png,988,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/994/994_1.png,994
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/827/827_36.png,827,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/909/909_6.png,909
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/868/868_22.png,868,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/992/992_34.png,992
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/939/939_8.png,939,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/970/970_40.png,970
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/870/870_37.png,870,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/909/909_24.png,909
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/869/869_31.png,869,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/972/972_20.png,972
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/825/825_45.png,825,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/976/976_27.png,976
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/865/865_6.png,865,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/892/892_44.png,892
