fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/840/840_24.png,840,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/840/840_26.png,840
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/975/975_14.png,975,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/975/975_24.png,975
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/890/890_24.png,890,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/890/890_38.png,890
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/819/819_47.png,819,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/819/819_9.png,819
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/821/821_38.png,821,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/821/821_44.png,821
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/994/994_0.png,994,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/994/994_19.png,994
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/989/989_40.png,989,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/989/989_8.png,989
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/898/898_17.png,898,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/898/898_19.png,898
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/884/884_21.png,884,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/884/884_29.png,884
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/819/819_28.png,819,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/819/819_44.png,819
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/869/869_17.png,869,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/869/869_21.png,869
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/917/917_1.png,917,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/917/917_47.png,917
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/807/807_17.png,807,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/807/807_43.png,807
