fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/848/848_2.png,848,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/848/848_48.png,848
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/944/944_36.png,944,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/944/944_38.png,944
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/966/966_18.png,966,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/966/966_25.png,966
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/919/919_14.png,919,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/919/919_20.png,919
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/886/886_23.png,886,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/886/886_36.png,886
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/895/895_6.png,895,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/895/895_7.png,895
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/971/971_3.png,971,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/971/971_8.png,971
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/945/945_35.png,945,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/945/945_44.png,945
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/974/974_45.png,974,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/974/974_6.png,974
/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/832/832_23.png,832,/Users/kcollins/invariant_face_data/rot_data/ill_normal_rot_yaw_-90_90_uniform_test/img/832/832_49.png,832
