fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/898/898_22.png,898,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/898/898_8.png,898
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/890/890_21.png,890,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/890/890_42.png,890
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/866/866_14.png,866,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/866/866_38.png,866
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/850/850_15.png,850,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/850/850_45.png,850
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/999/999_18.png,999,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/999/999_24.png,999
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/960/960_22.png,960,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/960/960_31.png,960
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/879/879_1.png,879,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/879/879_42.png,879
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/947/947_2.png,947,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/947/947_48.png,947
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/990/990_33.png,990,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/990/990_5.png,990
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/868/868_44.png,868,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/938/938_5.png,938
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/847/847_9.png,847,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/971/971_32.png,971
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/870/870_23.png,870,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/900/900_29.png,900
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/936/936_22.png,936,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/989/989_2.png,989
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/914/914_37.png,914,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/969/969_32.png,969
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/929/929_13.png,929,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/949/949_48.png,949
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/827/827_48.png,827,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/943/943_21.png,943
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/805/805_26.png,805,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/931/931_2.png,931
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/936/936_30.png,936,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/988/988_46.png,988
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/863/863_0.png,863,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/919/919_14.png,919
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/803/803_29.png,803,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/926/926_4.png,926
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/914/914_9.png,914,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/956/956_6.png,956
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/867/867_14.png,867,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/939/939_19.png,939
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/953/953_12.png,953,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/979/979_17.png,979
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/828/828_6.png,828,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/857/857_43.png,857
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/941/941_14.png,941,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/947/947_0.png,947
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/834/834_29.png,834,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/914/914_8.png,914
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/862/862_17.png,862,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/990/990_21.png,990
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/828/828_38.png,828,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/967/967_7.png,967
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/820/820_22.png,820,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/880/880_38.png,880
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/898/898_1.png,898,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/917/917_48.png,917
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/867/867_37.png,867,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/903/903_29.png,903
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/811/811_25.png,811,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/875/875_37.png,875
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/961/961_38.png,961,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/981/981_39.png,981
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/955/955_23.png,955,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/973/973_40.png,973
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/831/831_27.png,831,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/953/953_16.png,953
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/823/823_7.png,823,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/886/886_4.png,886
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/826/826_32.png,826,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/853/853_49.png,853
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/908/908_10.png,908,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/924/924_12.png,924
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/801/801_14.png,801,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/852/852_38.png,852
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/832/832_38.png,832,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/850/850_33.png,850
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/840/840_32.png,840,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/987/987_37.png,987
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/897/897_35.png,897,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/954/954_12.png,954
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/954/954_34.png,954,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/999/999_48.png,999
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/888/888_14.png,888,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/981/981_20.png,981
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/842/842_8.png,842,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/965/965_44.png,965
