fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/840/840_47.png,840,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/840/840_49.png,840
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/832/832_41.png,832,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/832/832_6.png,832
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/963/963_20.png,963,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/963/963_27.png,963
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/862/862_35.png,862,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/862/862_42.png,862
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/975/975_13.png,975,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/975/975_8.png,975
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/860/860_29.png,860,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/860/860_4.png,860
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/923/923_24.png,923,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/923/923_38.png,923
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/898/898_21.png,898,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/898/898_31.png,898
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/991/991_13.png,991,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/991/991_14.png,991
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/994/994_45.png,994,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/994/994_5.png,994
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/889/889_13.png,889,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/889/889_44.png,889
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/898/898_47.png,898,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/898/898_49.png,898
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/862/862_12.png,862,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-90_90_uniform_test/img/862/862_24.png,862
