fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/929/929_12.png,929,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/929/929_32.png,929
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/883/883_11.png,883,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/883/883_44.png,883
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/952/952_21.png,952,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/952/952_7.png,952
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/916/916_16.png,916,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/916/916_44.png,916
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/973/973_32.png,973,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/973/973_8.png,973
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/846/846_28.png,846,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/846/846_40.png,846
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/996/996_13.png,996,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/996/996_6.png,996
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/896/896_17.png,896,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/896/896_2.png,896
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/893/893_16.png,893,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/893/893_46.png,893
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/952/952_47.png,952,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/963/963_9.png,963
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/841/841_37.png,841,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/875/875_49.png,875
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/850/850_4.png,850,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/895/895_17.png,895
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/819/819_30.png,819,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/908/908_34.png,908
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/948/948_23.png,948,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/985/985_13.png,985
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/959/959_42.png,959,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/981/981_19.png,981
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/854/854_40.png,854,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/994/994_24.png,994
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/844/844_37.png,844,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/851/851_28.png,851
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/815/815_5.png,815,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/880/880_30.png,880
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/861/861_16.png,861,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/999/999_43.png,999
