fname1,label1,fname2,label2
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/927/927_19.png,927,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/927/927_6.png,927
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/804/804_16.png,804,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/804/804_37.png,804
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/889/889_31.png,889,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/889/889_7.png,889
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/947/947_18.png,947,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/947/947_44.png,947
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/882/882_29.png,882,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/882/882_43.png,882
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/963/963_19.png,963,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/963/963_48.png,963
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/994/994_3.png,994,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/994/994_8.png,994
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/977/977_31.png,977,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/977/977_38.png,977
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/979/979_19.png,979,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/979/979_8.png,979
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/814/814_47.png,814,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/814/814_5.png,814
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/808/808_14.png,808,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/808/808_33.png,808
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/923/923_19.png,923,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/923/923_31.png,923
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/937/937_13.png,937,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/937/937_30.png,937
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/902/902_11.png,902,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/902/902_12.png,902
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/972/972_15.png,972,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/972/972_32.png,972
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/947/947_15.png,947,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/947/947_41.png,947
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/909/909_18.png,909,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/909/909_25.png,909
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/872/872_22.png,872,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/872/872_26.png,872
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/985/985_1.png,985,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/985/985_3.png,985
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/891/891_42.png,891,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/891/891_5.png,891
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/977/977_0.png,977,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/977/977_9.png,977
/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/852/852_39.png,852,/Users/kcollins/invariant_face_data/rot_data/rot_yaw_-45_45_uniform_test/img/852/852_45.png,852
